"Fold Number","Epoch","Accuracy"
"0","0","9"
"0","100","11"
"0","200","6"
"0","300","0"
"0","400","2"
"0","500","1"
"0","600","1"
"0","700","1"
"0","800","1"
"0","900","1"
"0","1000","1"
"0","1100","1"
"0","1200","1"
"0","1300","1"
"0","1400","1"
"1","0","8"
"1","100","12"
"1","200","12"
"1","300","2"
"1","400","0"
"1","500","1"
"1","600","1"
"1","700","1"
"1","800","1"
"1","900","1"
"1","1000","1"
"1","1100","1"
"1","1200","1"
"1","1300","1"
"1","1400","1"
"2","0","9"
"2","100","12"
"2","200","12"
"2","300","0"
"2","400","1"
"2","500","0"
"2","600","0"
"2","700","0"
"2","800","0"
"2","900","0"
"2","1000","0"
"2","1100","0"
"2","1200","0"
"2","1300","0"
"2","1400","0"
"3","0","8"
"3","100","12"
"3","200","12"
"3","300","2"
"3","400","1"
"3","500","1"
"3","600","1"
"3","700","2"
"3","800","2"
"3","900","2"
"3","1000","2"
"3","1100","2"
"3","1200","2"
"3","1300","2"
"3","1400","2"
"4","0","12"
"4","100","12"
"4","200","1"
"4","300","0"
"4","400","1"
"4","500","0"
"4","600","0"
"4","700","0"
"4","800","0"
"4","900","0"
"4","1000","0"
"4","1100","0"
"4","1200","0"
"4","1300","0"
"4","1400","0"
"5","0","10"
"5","100","11"
"5","200","11"
"5","300","2"
"5","400","0"
"5","500","0"
"5","600","0"
"5","700","0"
"5","800","0"
"5","900","0"
"5","1000","0"
"5","1100","0"
"5","1200","0"
"5","1300","0"
"5","1400","0"
"6","0","8"
"6","100","12"
"6","200","12"
"6","300","0"
"6","400","0"
"6","500","0"
"6","600","0"
"6","700","0"
"6","800","0"
"6","900","0"
"6","1000","0"
"6","1100","0"
"6","1200","0"
"6","1300","0"
"6","1400","0"
"7","0","11"
"7","100","11"
"7","200","11"
"7","300","0"
"7","400","1"
"7","500","0"
"7","600","0"
"7","700","0"
"7","800","0"
"7","900","0"
"7","1000","0"
"7","1100","0"
"7","1200","0"
"7","1300","0"
"7","1400","0"
"8","0","10"
"8","100","12"
"8","200","12"
"8","300","1"
"8","400","1"
"8","500","1"
"8","600","0"
"8","700","0"
"8","800","1"
"8","900","1"
"8","1000","1"
"8","1100","1"
"8","1200","1"
"8","1300","1"
"8","1400","1"
"9","0","10"
"9","100","11"
"9","200","11"
"9","300","1"
"9","400","0"
"9","500","0"
"9","600","0"
"9","700","0"
"9","800","0"
"9","900","0"
"9","1000","0"
"9","1100","0"
"9","1200","0"
"9","1300","0"
"9","1400","0"
